row_no	source	ama_id	ama_path	ama_l1	ama_l2	ama_l3	ama_l4	wow_id	wow_path	wow_l1	wow_l2	score	judgment	correct_wow_path	notes
1	review	3395231	Sports & Outdoors/Hunting & Fishing/Shooting/Airsoft Guns & Accessories/Airsoft Protective Gear/Chest Protectors	Sports & Outdoors	Hunting & Fishing	Shooting	Airsoft Guns & Accessories	40530403	スポーツ・アウトドア/陸上・トラック競技/陸上競技用品/アクセサリー・その他	スポーツ・アウトドア	陸上・トラック競技	0.400			
2	review	3396121	Sports & Outdoors/Sports/Team Sports/Baseball/Training Equipment/Fungo & Training Bats	Sports & Outdoors	Sports	Team Sports	Baseball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.443			
3	review	3396221	Sports & Outdoors/Sports/Team Sports/Baseball/Baseball Mitts/Catcher's Mitts	Sports & Outdoors	Sports	Team Sports	Baseball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.490			
4	review	3396231	Sports & Outdoors/Sports/Team Sports/Baseball/Baseball Mitts/First Baseman's Mitts	Sports & Outdoors	Sports	Team Sports	Baseball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.470			
5	review	3396241	Sports & Outdoors/Sports/Team Sports/Baseball/Baseball Mitts/Infielder's Mitts	Sports & Outdoors	Sports	Team Sports	Baseball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.483			
6	review	3396311	Sports & Outdoors/Sports/Team Sports/Baseball/Baseball Mitts/Outfielder's Mitts	Sports & Outdoors	Sports	Team Sports	Baseball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.479			
7	review	3396471	Sports & Outdoors/Sports/Team Sports/Baseball/Training Equipment/Practice Nets	Sports & Outdoors	Sports	Team Sports	Baseball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.458			
8	review	3396551	Sports & Outdoors/Sports/Team Sports/Basketball/Court Equipment/Backboard Components	Sports & Outdoors	Sports	Team Sports	Basketball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.464			
9	review	3396641	Sports & Outdoors/Sports/Team Sports/Basketball/Court Equipment/Backboard Components/Pole Pads	Sports & Outdoors	Sports	Team Sports	Basketball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.417			
10	review	3396651	Sports & Outdoors/Sports/Team Sports/Basketball/Court Equipment/Scoreboards & Timers	Sports & Outdoors	Sports	Team Sports	Basketball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.456			
11	review	3396951	Sports & Outdoors/Sports/Team Sports/Basketball/Court Equipment/Backboard Components/Nets	Sports & Outdoors	Sports	Team Sports	Basketball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.430			
12	review	3397001	Sports & Outdoors/Sports/Team Sports/Basketball/Court Equipment/Backboard Components/Rims	Sports & Outdoors	Sports	Team Sports	Basketball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.418			
13	review	3398941	Sports & Outdoors/Sports/Boating & Sailing/Boating/Maintenance Supplies/Painting Supplies	Sports & Outdoors	Sports	Boating & Sailing	Boating	40200901	スポーツ・アウトドア/サッカー・フットサル/サッカー用品/その他サッカー用品	スポーツ・アウトドア	サッカー・フットサル	0.484			
14	review	3399261	Sports & Outdoors/Sports/Boating & Sailing/Sailing/Rigging/Cordage	Sports & Outdoors	Sports	Boating & Sailing	Sailing	40341101	スポーツ・アウトドア/フィッシング/収納ケース・バッグ/その他収納ケース・バッグ	スポーツ・アウトドア	フィッシング	0.446			
15	review	3400271	Sports & Outdoors/Sports/Other Sports/Boxing/Punching Bags	Sports & Outdoors	Sports	Other Sports	Boxing	40200501	スポーツ・アウトドア/サッカー・フットサル/サッカーバッグ/その他サッカーバッグ	スポーツ・アウトドア	サッカー・フットサル	0.468			
16	review	3400281	Sports & Outdoors/Sports/Other Sports/Boxing/Punching Bags/Double-End Bags	Sports & Outdoors	Sports	Other Sports	Boxing	40341101	スポーツ・アウトドア/フィッシング/収納ケース・バッグ/その他収納ケース・バッグ	スポーツ・アウトドア	フィッシング	0.481			
17	review	3400291	Sports & Outdoors/Sports/Other Sports/Boxing/Punching Bags/Heavy Bags	Sports & Outdoors	Sports	Other Sports	Boxing	40341101	スポーツ・アウトドア/フィッシング/収納ケース・バッグ/その他収納ケース・バッグ	スポーツ・アウトドア	フィッシング	0.484			
18	review	3400341	Sports & Outdoors/Sports/Other Sports/Boxing/Punching Bags/Speed Bags	Sports & Outdoors	Sports	Other Sports	Boxing	40341101	スポーツ・アウトドア/フィッシング/収納ケース・バッグ/その他収納ケース・バッグ	スポーツ・アウトドア	フィッシング	0.484			
19	review	3415551	Sports & Outdoors/Hunting & Fishing/Shooting/Paintball/Equipment Bags	Sports & Outdoors	Hunting & Fishing	Shooting	Paintball	40341101	スポーツ・アウトドア/フィッシング/収納ケース・バッグ/その他収納ケース・バッグ	スポーツ・アウトドア	フィッシング	0.496			
20	review	3419451	Sports & Outdoors/Sports/Leisure Sports & Game Room/Table Tennis/Rackets	Sports & Outdoors	Sports	Leisure Sports & Game Room	Table Tennis	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.441			
21	review	3419511	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Tennis	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.513			
22	review	3419561	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Badminton/Nets	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.472			
23	review	3419581	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Badminton/Complete Sets	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.439			
24	review	3419591	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Badminton/Shuttlecocks	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.443			
25	review	3419611	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Racquetball/Footwear	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.476			
26	review	3419691	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Racquetball/Racquet Grips	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.448			
27	review	3419751	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Racquetball/Racquets	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.465			
28	review	3419761	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Racquetball/Racquetballs	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.451			
29	review	3419791	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Handball/Goggles	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.464			
30	review	3419831	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Squash/Racket Grips	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.453			
31	review	3419901	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Squash/Balls	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.479			
32	review	3419911	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Squash/Racquets	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.452			
33	review	3528161	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Racquetball	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.458			
34	review	3528171	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Badminton	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.500			
35	review	3764491	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/Aloe Vera	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	Aloe Vera	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.455			
36	review	3764701	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/Fruit Extracts/Bilberry	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	Fruit Extracts	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.403			
37	review	3764761	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/Black Cohosh	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	Black Cohosh	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.444			
38	review	3765381	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/Fruit Extracts/Cranberry	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	Fruit Extracts	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.400			
39	review	3765481	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/Dong Quai	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	Dong Quai	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.455			
40	review	3765551	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/Evening Primrose	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	Evening Primrose	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.431			
41	review	3765701	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/Ginkgo Biloba	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	Ginkgo Biloba	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.441			
42	review	3765851	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/Green Tea	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	Green Tea	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.455			
43	review	3765951	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/Horny Goat Weed	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	Horny Goat Weed	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.434			
44	review	3766101	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/Kava Kava	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	Kava Kava	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.455			
45	review	3766181	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/Licorice Root	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	Licorice Root	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.441			
46	review	3766261	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/Muira Puama	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	Muira Puama	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.448			
47	review	3766301	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/Milk Thistle	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	Milk Thistle	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.444			
48	review	3766541	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/Olive Leaf	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	Olive Leaf	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.452			
49	review	3766821	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/Red Yeast Rice	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	Red Yeast Rice	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.438			
50	review	3766921	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/Saw Palmetto	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	Saw Palmetto	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.444			
51	review	3767061	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/St. John's Wort	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	St. John's Wort	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.438			
52	review	3773561	Health & Household/Vitamins, Minerals & Supplements/Antioxidants/Polyphenol/Flavonoids	Health & Household	Vitamins, Minerals & Supplements	Antioxidants	Polyphenol	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.412			
53	review	3773841	Health & Household/Vitamins, Minerals & Supplements/Essential Fatty Acids/Linseed Oil	Health & Household	Vitamins, Minerals & Supplements	Essential Fatty Acids	Linseed Oil	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.438			
54	review	3774531	Health & Household/Vitamins, Minerals & Supplements/Antioxidants/Alpha Lipoic Acid	Health & Household	Vitamins, Minerals & Supplements	Antioxidants	Alpha Lipoic Acid	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.432			
55	review	3777261	Health & Household/Medical Supplies & Equipment/Home Tests/Drug Tests/Alcohol Tests	Health & Household	Medical Supplies & Equipment	Home Tests	Drug Tests	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.434			
56	review	3777271	Health & Household/Medical Supplies & Equipment/Home Tests/Drug Tests/Cocaine Tests	Health & Household	Medical Supplies & Equipment	Home Tests	Drug Tests	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.434			
57	review	3777281	Health & Household/Medical Supplies & Equipment/Home Tests/Drug Tests/Ecstasy Tests	Health & Household	Medical Supplies & Equipment	Home Tests	Drug Tests	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.434			
58	review	3777291	Health & Household/Medical Supplies & Equipment/Home Tests/Drug Tests/Marijuana Tests	Health & Household	Medical Supplies & Equipment	Home Tests	Drug Tests	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.427			
59	review	3777301	Health & Household/Medical Supplies & Equipment/Home Tests/Drug Tests/Multidrug Tests	Health & Household	Medical Supplies & Equipment	Home Tests	Drug Tests	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.427			
60	review	3777801	Health & Household/Sexual Wellness/Adult Toys & Games/Sex Games	Health & Household	Sexual Wellness	Adult Toys & Games	Sex Games	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.423			
61	review	3777811	Health & Household/Sexual Wellness/Adult Toys & Games/Sex Toys	Health & Household	Sexual Wellness	Adult Toys & Games	Sex Toys	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.427			
62	review	10728501	Health & Household/Vitamins, Minerals & Supplements/Essential Fatty Acids/Fish Oil	Health & Household	Vitamins, Minerals & Supplements	Essential Fatty Acids	Fish Oil	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.448			
63	review	10728601	Health & Household/Vitamins, Minerals & Supplements/Essential Fatty Acids/Omega Oils/Omega-3	Health & Household	Vitamins, Minerals & Supplements	Essential Fatty Acids	Omega Oils	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.409			
64	review	13280811	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Squash	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.513			
65	review	13280871	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Squash/Equipment Bags	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.450			
66	review	13287801	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Paddle Tennis	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.483			
67	review	13287871	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Paddleball	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.496			
68	review	13291051	Sports & Outdoors/Exercise & Fitness/Pilates/Spine Supporters	Sports & Outdoors	Exercise & Fitness	Pilates	Spine Supporters	40200901	スポーツ・アウトドア/サッカー・フットサル/サッカー用品/その他サッカー用品	スポーツ・アウトドア	サッカー・フットサル	0.529			
69	review	14335791	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Handball	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.504			
70	review	15342861	Health & Household/Household Supplies/Household Cleaning/Floor Cleaners	Health & Household	Household Supplies	Household Cleaning	Floor Cleaners	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.410			
71	review	15347371	Health & Household/Household Supplies/Household Cleaning/Bathroom Cleaners	Health & Household	Household Supplies	Household Cleaning	Bathroom Cleaners	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.400			
72	review	15347401	Health & Household/Household Supplies/Household Cleaning/Paper Towels	Health & Household	Household Supplies	Household Cleaning	Paper Towels	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.417			
73	review	15356151	Health & Household/Household Supplies/Household Cleaning/Glass Cleaners	Health & Household	Household Supplies	Household Cleaning	Glass Cleaners	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.410			
74	review	15377711	Health & Household/Household Supplies/Household Cleaning/Drain Openers	Health & Household	Household Supplies	Household Cleaning	Drain Openers	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.414			
75	review	15693661	Health & Household/Household Supplies/Household Cleaning/Kitchen Cleaners	Health & Household	Household Supplies	Household Cleaning	Kitchen Cleaners	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.403			
76	review	16317431	Grocery & Gourmet Food/Pantry Staples/Cooking & Baking/Condensed & Powdered Milk/Condensed	Grocery & Gourmet Food	Pantry Staples	Cooking & Baking	Condensed & Powdered Milk	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.497			
77	review	16317631	Grocery & Gourmet Food/Pantry Staples/Cooking & Baking/Flours & Meals/Barley Flour	Grocery & Gourmet Food	Pantry Staples	Cooking & Baking	Flours & Meals	36160410	グルメ・食品/野菜・きのこ/その他野菜/パセリ	グルメ・食品	野菜・きのこ	0.522			
78	review	16319521	Grocery & Gourmet Food/Produce/Fresh Vegetables/Onions & Shallots	Grocery & Gourmet Food	Produce	Fresh Vegetables	Onions & Shallots	36160405	グルメ・食品/野菜・きのこ/その他野菜/エシャロット	グルメ・食品	野菜・きのこ	0.661			
79	review	16320091	Grocery & Gourmet Food/Pantry Staples/Jams, Jellies & Sweet Spreads/Jams, Jellies & Preserves/Jellies	Grocery & Gourmet Food	Pantry Staples	Jams, Jellies & Sweet Spreads	Jams, Jellies & Preserves	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.522			
80	review	166037011	Toys & Games/Novelty & Gag Toys/Juggling Sets	Toys & Games	Novelty & Gag Toys	Juggling Sets		29040502	おもちゃ・趣味/その他趣味/大道芸/ジャグリング	おもちゃ・趣味	その他趣味	0.538			
81	review	166070011	Toys & Games/Arts & Crafts/Craft Kits/Paper Craft	Toys & Games	Arts & Crafts	Craft Kits	Paper Craft	291901	おもちゃ・趣味/ペーパークラフト/その他ペーパークラフト	おもちゃ・趣味	ペーパークラフト	0.483			
82	review	166453011	Toys & Games/Sports & Outdoor Play/Toy Sports	Toys & Games	Sports & Outdoor Play	Toy Sports		291401	おもちゃ・趣味/パチンコ・スロット/その他パチンコ・スロット	おもちゃ・趣味	パチンコ・スロット	0.482			
83	review	374790011	Sports & Outdoors/Fan Shop/Sports Souvenirs/Helmets/Full Sized Helmets	Sports & Outdoors	Fan Shop	Sports Souvenirs	Helmets	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.459			
84	review	375538011	Sports & Outdoors/Fan Shop/Sports Souvenirs/Helmets/Mini Helmets	Sports & Outdoors	Fan Shop	Sports Souvenirs	Helmets	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.481			
85	review	393976011	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Racquetball/Gloves	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.472			
86	review	486410011	Musical Instruments/Amplifiers & Effects/Guitar & Bass Amplifiers & Preamps	Musical Instruments	Amplifiers & Effects	Guitar & Bass Amplifiers & Preamps		562906	楽器・音響機器/キーボード・ピアノ/その他キーボード・ピアノ	楽器・音響機器	キーボード・ピアノ	0.400			
87	review	706816011	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.500			
88	review	1243850011	Health & Household/Sexual Wellness/Sex Furniture/Ramps & Cushions	Health & Household	Sexual Wellness	Sex Furniture	Ramps & Cushions	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.404			
89	review	2245510011	Health & Household/Household Supplies/Cleaning Tools/Sweeping/Brooms	Health & Household	Household Supplies	Cleaning Tools	Sweeping	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.417			
