row_no	source	ama_id	ama_path	ama_l1	ama_l2	ama_l3	ama_l4	wow_id	wow_path	wow_l1	wow_l2	score	judgment	correct_wow_path	notes
90	review	2256190011	Grocery & Gourmet Food/Dairy, Eggs & Plant-Based Alternatives/Cheese Assortments & Samplers	Grocery & Gourmet Food	Dairy, Eggs & Plant-Based Alternatives	Cheese Assortments & Samplers		360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.514			
91	review	2368091011	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Handball/Gloves	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.468			
92	review	2368092011	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Handball/Handballs	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.457			
93	review	2368115011	Sports & Outdoors/Sports/Team Sports/Tennis & Racquet Sports/Badminton/Equipment Bags	Sports & Outdoors	Sports	Team Sports	Tennis & Racquet Sports	40271401	スポーツ・アウトドア/テニス/ラケット/その他ラケット	スポーツ・アウトドア	テニス	0.439			
94	review	2403096011	Sports & Outdoors/Sports/Other Sports/Boxing/Punching Bags/Focus Bags	Sports & Outdoors	Sports	Other Sports	Boxing	40341101	スポーツ・アウトドア/フィッシング/収納ケース・バッグ/その他収納ケース・バッグ	スポーツ・アウトドア	フィッシング	0.484			
95	review	2403097011	Sports & Outdoors/Sports/Other Sports/Boxing/Punching Bags/Maize Bags	Sports & Outdoors	Sports	Other Sports	Boxing	40341101	スポーツ・アウトドア/フィッシング/収納ケース・バッグ/その他収納ケース・バッグ	スポーツ・アウトドア	フィッシング	0.484			
96	review	2403098011	Sports & Outdoors/Sports/Other Sports/Boxing/Punching Bags/Pedestal Bags	Sports & Outdoors	Sports	Other Sports	Boxing	40341101	スポーツ・アウトドア/フィッシング/収納ケース・バッグ/その他収納ケース・バッグ	スポーツ・アウトドア	フィッシング	0.472			
97	review	3311055011	Sports & Outdoors/Fan Shop/Sports Collectibles/Helmets/Full Sized Helmets	Sports & Outdoors	Fan Shop	Sports Collectibles	Helmets	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.449			
98	review	3311056011	Sports & Outdoors/Fan Shop/Sports Collectibles/Helmets/Mini Helmets	Sports & Outdoors	Fan Shop	Sports Collectibles	Helmets	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.470			
99	review	3311069011	Sports & Outdoors/Fan Shop/Sports Collectibles/Ticket Stubs	Sports & Outdoors	Fan Shop	Sports Collectibles	Ticket Stubs	40200901	スポーツ・アウトドア/サッカー・フットサル/サッカー用品/その他サッカー用品	スポーツ・アウトドア	サッカー・フットサル	0.479			
100	review	3441527011	Grocery & Gourmet Food/Pantry Staples/Jams, Jellies & Sweet Spreads/Jams, Jellies & Preserves/Jams & Preserves	Grocery & Gourmet Food	Pantry Staples	Jams, Jellies & Sweet Spreads	Jams, Jellies & Preserves	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.500			
101	review	5395823011	Sports & Outdoors/Fan Shop/Sports Collectibles/Trophies	Sports & Outdoors	Fan Shop	Sports Collectibles	Trophies	40200901	スポーツ・アウトドア/サッカー・フットサル/サッカー用品/その他サッカー用品	スポーツ・アウトドア	サッカー・フットサル	0.496			
102	review	5395825011	Sports & Outdoors/Fan Shop/Sports Collectibles/Stadium Components	Sports & Outdoors	Fan Shop	Sports Collectibles	Stadium Components	40200901	スポーツ・アウトドア/サッカー・フットサル/サッカー用品/その他サッカー用品	スポーツ・アウトドア	サッカー・フットサル	0.457			
103	review	5395827011	Sports & Outdoors/Fan Shop/Sports Collectibles/Baseball Bases	Sports & Outdoors	Fan Shop	Sports Collectibles	Baseball Bases	40200901	スポーツ・アウトドア/サッカー・フットサル/サッカー用品/その他サッカー用品	スポーツ・アウトドア	サッカー・フットサル	0.472			
104	review	5680518011	Sports & Outdoors/Sports/Team Sports/Baseball/Field Equipment/Drag Mats	Sports & Outdoors	Sports	Team Sports	Baseball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.493			
105	review	5769004011	Sports & Outdoors/Fan Shop/Pet Gear/Pet Beds	Sports & Outdoors	Fan Shop	Pet Gear	Pet Beds	40340501	スポーツ・アウトドア/フィッシング/リール/その他リール	スポーツ・アウトドア	フィッシング	0.518			
106	review	5769013011	Sports & Outdoors/Fan Shop/Pet Gear/Pet ID Tags	Sports & Outdoors	Fan Shop	Pet Gear	Pet ID Tags	40341101	スポーツ・アウトドア/フィッシング/収納ケース・バッグ/その他収納ケース・バッグ	スポーツ・アウトドア	フィッシング	0.520			
107	review	5769027011	Sports & Outdoors/Fan Shop/Gameday & Tailgating/Disposable Cups & Plates/Disposable Cups	Sports & Outdoors	Fan Shop	Gameday & Tailgating	Disposable Cups & Plates	40200901	スポーツ・アウトドア/サッカー・フットサル/サッカー用品/その他サッカー用品	スポーツ・アウトドア	サッカー・フットサル	0.419			
108	review	5769028011	Sports & Outdoors/Fan Shop/Gameday & Tailgating/Disposable Cups & Plates/Disposable Plates	Sports & Outdoors	Fan Shop	Gameday & Tailgating	Disposable Cups & Plates	40200901	スポーツ・アウトドア/サッカー・フットサル/サッカー用品/その他サッカー用品	スポーツ・アウトドア	サッカー・フットサル	0.440			
109	review	5931158011	Sports & Outdoors/Fan Shop/Sports Collectibles/Cut Signatures	Sports & Outdoors	Fan Shop	Sports Collectibles	Cut Signatures	40200901	スポーツ・アウトドア/サッカー・フットサル/サッカー用品/その他サッカー用品	スポーツ・アウトドア	サッカー・フットサル	0.488			
110	review	6459165011	Grocery & Gourmet Food/Frozen/Fruit/Mixed Fruit	Grocery & Gourmet Food	Frozen	Fruit	Mixed Fruit	360506	グルメ・食品/フルーツ・果物/その他フルーツ・果物	グルメ・食品	フルーツ・果物	0.680			
111	review	6464940011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Beans & Peas	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Beans & Peas	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.511			
112	review	6464944011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Beans & Peas/Kidney Beans	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Beans & Peas	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.461			
113	review	6464945011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Beans & Peas/Lima Beans	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Beans & Peas	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.480			
114	review	6464947011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Fruits	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Fruits	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.526			
115	review	6464972011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Meat, Poultry & Seafood	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Meat, Poultry & Seafood	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.490			
116	review	6464979011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Sloppy Joe Mix	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Sloppy Joe Mix	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.496			
117	review	6485886011	Grocery & Gourmet Food/Pantry Staples/Cooking & Baking/Condensed & Powdered Milk	Grocery & Gourmet Food	Pantry Staples	Cooking & Baking	Condensed & Powdered Milk	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.541			
118	review	6485892011	Grocery & Gourmet Food/Pantry Staples/Cooking & Baking/Cooking Oils, Vinegars & Sprays/Oils/Almond	Grocery & Gourmet Food	Pantry Staples	Cooking & Baking	Cooking Oils, Vinegars & Sprays	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.490			
119	review	6485899011	Grocery & Gourmet Food/Pantry Staples/Cooking & Baking/Cooking Oils, Vinegars & Sprays/Oils/Walnut	Grocery & Gourmet Food	Pantry Staples	Cooking & Baking	Cooking Oils, Vinegars & Sprays	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.490			
120	review	6493999011	Grocery & Gourmet Food/Pantry Staples/Jams, Jellies & Sweet Spreads/Jams, Jellies & Preserves	Grocery & Gourmet Food	Pantry Staples	Jams, Jellies & Sweet Spreads	Jams, Jellies & Preserves	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.544			
121	review	6499410011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Packaged Meals & Side Dishes/Macaroni & Cheese	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Packaged Meals & Side Dishes	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.433			
122	review	6499422011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Packaged Meals & Side Dishes/Pasta & Noodle Dishes	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Packaged Meals & Side Dishes	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.434			
123	review	6499423011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Packaged Meals & Side Dishes/Pasta & Noodle Dishes/Noodle	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Packaged Meals & Side Dishes	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.413			
124	review	6499424011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Packaged Meals & Side Dishes/Pasta & Noodle Dishes/Pasta	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Packaged Meals & Side Dishes	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.415			
125	review	6499425011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Packaged Meals & Side Dishes/Pasta Salads	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Packaged Meals & Side Dishes	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.452			
126	review	6499426011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Packaged Meals & Side Dishes/Pizza	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Packaged Meals & Side Dishes	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.460			
127	review	6499427011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Packaged Meals & Side Dishes/Potatoes & Stuffings	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Packaged Meals & Side Dishes	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.425			
128	review	6499438011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Packaged Meals & Side Dishes/Rice Dishes	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Packaged Meals & Side Dishes	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.455			
129	review	6499439011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Packaged Meals & Side Dishes/Rice Dishes/Curried Rice	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Packaged Meals & Side Dishes	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.418			
130	review	6499440011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Packaged Meals & Side Dishes/Rice Dishes/Dirty Rice	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Packaged Meals & Side Dishes	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.422			
131	review	6499442011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Packaged Meals & Side Dishes/Rice Dishes/Paella	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Packaged Meals & Side Dishes	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.455			
132	review	6499443011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Packaged Meals & Side Dishes/Rice Dishes/Pilaf	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Packaged Meals & Side Dishes	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.446			
133	review	6499445011	Grocery & Gourmet Food/Pantry Staples/Canned, Jarred & Packaged Foods/Packaged Meals & Side Dishes/Rice Dishes/Risotto	Grocery & Gourmet Food	Pantry Staples	Canned, Jarred & Packaged Foods	Packaged Meals & Side Dishes	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.429			
134	review	6507018011	Grocery & Gourmet Food/Produce/Fresh Fruits/Citrus Fruits	Grocery & Gourmet Food	Produce	Fresh Fruits	Citrus Fruits	360506	グルメ・食品/フルーツ・果物/その他フルーツ・果物	グルメ・食品	フルーツ・果物	0.655			
135	review	6507067011	Grocery & Gourmet Food/Produce/Fresh Fruits/Star Fruit	Grocery & Gourmet Food	Produce	Fresh Fruits	Star Fruit	360506	グルメ・食品/フルーツ・果物/その他フルーツ・果物	グルメ・食品	フルーツ・果物	0.654			
136	review	6507075011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Celery	Grocery & Gourmet Food	Produce	Fresh Vegetables	Celery	36160409	グルメ・食品/野菜・きのこ/その他野菜/セロリ	グルメ・食品	野菜・きのこ	0.673			
137	review	6507100011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Leafy Greens/Arugula	Grocery & Gourmet Food	Produce	Fresh Vegetables	Leafy Greens	36160414	グルメ・食品/野菜・きのこ/その他野菜/ルッコラ	グルメ・食品	野菜・きのこ	0.646			
138	review	6507111011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Onions & Shallots/Cipollini	Grocery & Gourmet Food	Produce	Fresh Vegetables	Onions & Shallots	36160405	グルメ・食品/野菜・きのこ/その他野菜/エシャロット	グルメ・食品	野菜・きのこ	0.602			
139	review	6507112011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Onions & Shallots/Pearl	Grocery & Gourmet Food	Produce	Fresh Vegetables	Onions & Shallots	36160405	グルメ・食品/野菜・きのこ/その他野菜/エシャロット	グルメ・食品	野菜・きのこ	0.620			
140	review	6507113011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Onions & Shallots/Red	Grocery & Gourmet Food	Produce	Fresh Vegetables	Onions & Shallots	36160405	グルメ・食品/野菜・きのこ/その他野菜/エシャロット	グルメ・食品	野菜・きのこ	0.630			
141	review	6507115011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Onions & Shallots/Shallots	Grocery & Gourmet Food	Produce	Fresh Vegetables	Onions & Shallots	36160405	グルメ・食品/野菜・きのこ/その他野菜/エシャロット	グルメ・食品	野菜・きのこ	0.636			
142	review	6507116011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Onions & Shallots/Sweet	Grocery & Gourmet Food	Produce	Fresh Vegetables	Onions & Shallots	36160405	グルメ・食品/野菜・きのこ/その他野菜/エシャロット	グルメ・食品	野菜・きのこ	0.620			
143	review	6507117011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Onions & Shallots/Sweet/Vidalia	Grocery & Gourmet Food	Produce	Fresh Vegetables	Onions & Shallots	36160405	グルメ・食品/野菜・きのこ/その他野菜/エシャロット	グルメ・食品	野菜・きのこ	0.576			
144	review	6507118011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Onions & Shallots/Sweet/Walla Walla	Grocery & Gourmet Food	Produce	Fresh Vegetables	Onions & Shallots	36160405	グルメ・食品/野菜・きのこ/その他野菜/エシャロット	グルメ・食品	野菜・きのこ	0.559			
145	review	6507119011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Onions & Shallots/White	Grocery & Gourmet Food	Produce	Fresh Vegetables	Onions & Shallots	36160405	グルメ・食品/野菜・きのこ/その他野菜/エシャロット	グルメ・食品	野菜・きのこ	0.620			
146	review	6507120011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Onions & Shallots/Yellow	Grocery & Gourmet Food	Produce	Fresh Vegetables	Onions & Shallots	36160405	グルメ・食品/野菜・きのこ/その他野菜/エシャロット	グルメ・食品	野菜・きのこ	0.615			
147	review	6507132011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Peppers/Bell Peppers/Yellow	Grocery & Gourmet Food	Produce	Fresh Vegetables	Peppers	36160405	グルメ・食品/野菜・きのこ/その他野菜/エシャロット	グルメ・食品	野菜・きのこ	0.555			
148	review	6507133011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Peppers/Chili Peppers	Grocery & Gourmet Food	Produce	Fresh Vegetables	Peppers	36160409	グルメ・食品/野菜・きのこ/その他野菜/セロリ	グルメ・食品	野菜・きのこ	0.598			
149	review	6507135011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Peppers/Chili Peppers/Banana	Grocery & Gourmet Food	Produce	Fresh Vegetables	Peppers	36160409	グルメ・食品/野菜・きのこ/その他野菜/セロリ	グルメ・食品	野菜・きのこ	0.559			
150	review	6507136011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Peppers/Chili Peppers/Cayenne	Grocery & Gourmet Food	Produce	Fresh Vegetables	Peppers	36160409	グルメ・食品/野菜・きのこ/その他野菜/セロリ	グルメ・食品	野菜・きのこ	0.569			
151	review	6507137011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Peppers/Chili Peppers/Cherry	Grocery & Gourmet Food	Produce	Fresh Vegetables	Peppers	36160409	グルメ・食品/野菜・きのこ/その他野菜/セロリ	グルメ・食品	野菜・きのこ	0.574			
152	review	6507140011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Peppers/Chili Peppers/Jalapenos	Grocery & Gourmet Food	Produce	Fresh Vegetables	Peppers	36160405	グルメ・食品/野菜・きのこ/その他野菜/エシャロット	グルメ・食品	野菜・きのこ	0.553			
153	review	6507156011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Root Vegetables/Celery Root	Grocery & Gourmet Food	Produce	Fresh Vegetables	Root Vegetables	36160409	グルメ・食品/野菜・きのこ/その他野菜/セロリ	グルメ・食品	野菜・きのこ	0.602			
154	review	6507160011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Root Vegetables/Parsnips	Grocery & Gourmet Food	Produce	Fresh Vegetables	Root Vegetables	36160410	グルメ・食品/野菜・きのこ/その他野菜/パセリ	グルメ・食品	野菜・きのこ	0.580			
155	review	6507164011	Grocery & Gourmet Food/Produce/Fresh Vegetables/Sprouts/Alfalfa	Grocery & Gourmet Food	Produce	Fresh Vegetables	Sprouts	36160414	グルメ・食品/野菜・きのこ/その他野菜/ルッコラ	グルメ・食品	野菜・きのこ	0.607			
156	review	6524416011	Grocery & Gourmet Food/Breakfast Foods/Applesauce & Fruit Cups/Fruit Cups	Grocery & Gourmet Food	Breakfast Foods	Applesauce & Fruit Cups	Fruit Cups	360506	グルメ・食品/フルーツ・果物/その他フルーツ・果物	グルメ・食品	フルーツ・果物	0.565			
157	review	6584547011	Grocery & Gourmet Food/Produce/Fresh Fruits/Citrus Fruits/Limes	Grocery & Gourmet Food	Produce	Fresh Fruits	Citrus Fruits	360506	グルメ・食品/フルーツ・果物/その他フルーツ・果物	グルメ・食品	フルーツ・果物	0.610			
158	review	6939271011	Health & Household/Vitamins, Minerals & Supplements/Antioxidants/Colloidal Minerals	Health & Household	Vitamins, Minerals & Supplements	Antioxidants	Colloidal Minerals	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.429			
159	review	6943344011	Health & Household/Vitamins, Minerals & Supplements/Essential Fatty Acids/Black Currant Oil	Health & Household	Vitamins, Minerals & Supplements	Essential Fatty Acids	Black Currant Oil	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.418			
160	review	6943346011	Health & Household/Vitamins, Minerals & Supplements/Essential Fatty Acids/Flax Seed Oil	Health & Household	Vitamins, Minerals & Supplements	Essential Fatty Acids	Flax Seed Oil	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.431			
161	review	6943347011	Health & Household/Vitamins, Minerals & Supplements/Essential Fatty Acids/Krill Oils	Health & Household	Vitamins, Minerals & Supplements	Essential Fatty Acids	Krill Oils	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.441			
162	review	6943348011	Health & Household/Vitamins, Minerals & Supplements/Essential Fatty Acids/Omega Oils	Health & Household	Vitamins, Minerals & Supplements	Essential Fatty Acids	Omega Oils	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.441			
163	review	6943349011	Health & Household/Vitamins, Minerals & Supplements/Essential Fatty Acids/Omega Oils/Omega-6	Health & Household	Vitamins, Minerals & Supplements	Essential Fatty Acids	Omega Oils	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.409			
164	review	6943350011	Health & Household/Vitamins, Minerals & Supplements/Essential Fatty Acids/Omega Oils/Omega-9	Health & Household	Vitamins, Minerals & Supplements	Essential Fatty Acids	Omega Oils	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.409			
165	review	6966319011	Health & Household/Vitamins, Minerals & Supplements/Antioxidants/Polyphenol/Curcumin	Health & Household	Vitamins, Minerals & Supplements	Antioxidants	Polyphenol	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.419			
166	review	6966320011	Health & Household/Vitamins, Minerals & Supplements/Herbal Supplements/Marshmallow Root	Health & Household	Vitamins, Minerals & Supplements	Herbal Supplements	Marshmallow Root	42020201	ダイエット・健康/サプリメント/スポーツ/その他スポーツ	ダイエット・健康	サプリメント	0.431			
167	review	7427946011	Sports & Outdoors/Sports/Leisure Sports & Game Room/Bowling/Bags/Bowling Roller Bags	Sports & Outdoors	Sports	Leisure Sports & Game Room	Bowling	40341101	スポーツ・アウトドア/フィッシング/収納ケース・バッグ/その他収納ケース・バッグ	スポーツ・アウトドア	フィッシング	0.438			
168	review	8147489011	Grocery & Gourmet Food/Pantry Staples/Cooking & Baking/Frosting, Icing & Decorations/Edible Printer Ink & Paper/Edible Printer Ink	Grocery & Gourmet Food	Pantry Staples	Cooking & Baking	Frosting, Icing & Decorations	360401	グルメ・食品/パン・ジャム・シリアル/その他パン・ジャム・シリアル	グルメ・食品	パン・ジャム・シリアル	0.402			
169	review	8882524011	Musical Instruments/Keyboards & MIDI/Electronic Keyboards/Digital Pianos/Home Digital Pianos	Musical Instruments	Keyboards & MIDI	Electronic Keyboards	Digital Pianos	562906	楽器・音響機器/キーボード・ピアノ/その他キーボード・ピアノ	楽器・音響機器	キーボード・ピアノ	0.469			
170	review	8882525011	Musical Instruments/Keyboards & MIDI/Electronic Keyboards/Digital Pianos/Stage Digital Pianos	Musical Instruments	Keyboards & MIDI	Electronic Keyboards	Digital Pianos	562906	楽器・音響機器/キーボード・ピアノ/その他キーボード・ピアノ	楽器・音響機器	キーボード・ピアノ	0.466			
171	review	9865334011	Grocery & Gourmet Food/Produce/Dried Fruits & Vegetables/Dried Fruits	Grocery & Gourmet Food	Produce	Dried Fruits & Vegetables	Dried Fruits	360506	グルメ・食品/フルーツ・果物/その他フルーツ・果物	グルメ・食品	フルーツ・果物	0.600			
172	review	9865372011	Grocery & Gourmet Food/Produce/Dried Fruits & Vegetables/Dried Vegetables/Dried Okra	Grocery & Gourmet Food	Produce	Dried Fruits & Vegetables	Dried Vegetables	36160406	グルメ・食品/野菜・きのこ/その他野菜/オクラ	グルメ・食品	野菜・きのこ	0.536			
